Title,Channel,Video_id,Thumbnail,PublishTime,Labels,Image_Name,Class_Name,Image_Path
Aqua - Barbie Girl (Official Music Video),AquaVEVO,ZyhrYis509A,https://i.ytimg.com/vi/ZyhrYis509A/hqdefault.jpg,2010-08-20T16:35:21Z,0,ZyhrYis509A,Music,data/Music/ZyhrYis509A.jpg
Loreen - Tattoo | Sweden 🇸🇪 | Official Music Video | Eurovision 2023,Eurovision Song Contest,b3vJfR81xO0,https://i.ytimg.com/vi/b3vJfR81xO0/hqdefault.jpg,2023-03-11T23:40:36Z,0,b3vJfR81xO0,Music,data/Music/b3vJfR81xO0.jpg
Sam Hunt - Outskirts (Official Music Video),SamHuntVEVO,kxKU7ddTqag,https://i.ytimg.com/vi/kxKU7ddTqag/hqdefault.jpg,2023-05-05T17:00:09Z,0,kxKU7ddTqag,Music,data/Music/kxKU7ddTqag.jpg
Lady Gaga - Poker Face (Official Music Video),LadyGagaVEVO,bESGLojNYSo,https://i.ytimg.com/vi/bESGLojNYSo/hqdefault.jpg,2009-12-20T03:05:36Z,0,bESGLojNYSo,Music,data/Music/bESGLojNYSo.jpg
Rema - Calm Down (Official Music Video),Rema,CQLsdm1ZYAw,https://i.ytimg.com/vi/CQLsdm1ZYAw/hqdefault.jpg,2022-02-11T18:11:06Z,0,CQLsdm1ZYAw,Music,data/Music/CQLsdm1ZYAw.jpg
Adele - Rolling in the Deep (Official Music Video),AdeleVEVO,rYEDA3JcQqw,https://i.ytimg.com/vi/rYEDA3JcQqw/hqdefault.jpg,2010-11-30T23:29:12Z,0,rYEDA3JcQqw,Music,data/Music/rYEDA3JcQqw.jpg
Marshmello x Brent Faiyaz - Fell In Love (Official Music Video),Marshmello,ROAtsHmvJhM,https://i.ytimg.com/vi/ROAtsHmvJhM/hqdefault.jpg,2023-05-05T04:00:09Z,0,ROAtsHmvJhM,Music,data/Music/ROAtsHmvJhM.jpg
Britney Spears - Sometimes (Official HD Video),BritneySpearsVEVO,t0bPrt69rag,https://i.ytimg.com/vi/t0bPrt69rag/hqdefault.jpg,2009-10-25T07:10:45Z,0,t0bPrt69rag,Music,data/Music/t0bPrt69rag.jpg
Gucci Mane - Pissy (feat. Roddy Ricch &amp; Nardo Wick) [Official Music Video],Gucci Mane,J1PMWKW76DE,https://i.ytimg.com/vi/J1PMWKW76DE/hqdefault.jpg,2023-05-05T04:00:10Z,0,J1PMWKW76DE,Music,data/Music/J1PMWKW76DE.jpg
Kirk Franklin - All Things (Music Video),KirkFranklinVEVO,2Qnqm3MHVZM,https://i.ytimg.com/vi/2Qnqm3MHVZM/hqdefault.jpg,2023-05-05T17:00:10Z,0,2Qnqm3MHVZM,Music,data/Music/2Qnqm3MHVZM.jpg
Applause「 GCMV 」°Gacha Club Music Video°,Icy Minzy,duRgNYVVlQc,https://i.ytimg.com/vi/duRgNYVVlQc/hqdefault.jpg,2023-01-13T10:00:20Z,0,duRgNYVVlQc,Music,data/Music/duRgNYVVlQc.jpg
GLEE - Smooth Criminal (Full Performance) (Official Music Video) HD,"Being part of something special, makes you special! ♥",kZyLmn2moMM,https://i.ytimg.com/vi/kZyLmn2moMM/hqdefault.jpg,2016-01-30T13:02:20Z,0,kZyLmn2moMM,Music,data/Music/kZyLmn2moMM.jpg
Usher - Burn (Official Music Video),UsherVEVO,t5XNWFw5HVw,https://i.ytimg.com/vi/t5XNWFw5HVw/hqdefault.jpg,2009-10-25T07:06:07Z,0,t5XNWFw5HVw,Music,data/Music/t5XNWFw5HVw.jpg
Sliime - Lehenga [Music Video] | GRM Daily,GRM Daily,Npw7ZQX6tUk,https://i.ytimg.com/vi/Npw7ZQX6tUk/hqdefault.jpg,2023-01-10T18:30:18Z,0,Npw7ZQX6tUk,Music,data/Music/Npw7ZQX6tUk.jpg
The Black Eyed Peas - Where Is The Love? (Official Music Video),BlackEyedPeasVEVO,WpYeekQkAdc,https://i.ytimg.com/vi/WpYeekQkAdc/hqdefault.jpg,2009-06-16T22:48:50Z,0,WpYeekQkAdc,Music,data/Music/WpYeekQkAdc.jpg
Haschak Sisters - Bounce Back (Music Video),Haschak Sisters,vJ6xSS5pFDI,https://i.ytimg.com/vi/vJ6xSS5pFDI/hqdefault.jpg,2022-07-29T14:14:41Z,0,vJ6xSS5pFDI,Music,data/Music/vJ6xSS5pFDI.jpg
&quot;If I Ain&#39;t Got You&quot; by Alicia Keys ft. Queen Charlotte&#39;s Global Orchestra | Netflix,Netflix,qmSUPyOSvEs,https://i.ytimg.com/vi/qmSUPyOSvEs/hqdefault.jpg,2023-05-08T14:00:00Z,0,qmSUPyOSvEs,Music,data/Music/qmSUPyOSvEs.jpg
Ava Max - Sweet but Psycho [Official Music Video],Ava Max,WXBHCQYxwr0,https://i.ytimg.com/vi/WXBHCQYxwr0/hqdefault.jpg,2018-08-27T16:26:25Z,0,WXBHCQYxwr0,Music,data/Music/WXBHCQYxwr0.jpg
Bowser - Peaches (Official Music Video) | The Super Mario Bros. Movie,Illumination,imSefM4GPpE,https://i.ytimg.com/vi/imSefM4GPpE/hqdefault.jpg,2023-04-10T17:00:22Z,0,imSefM4GPpE,Music,data/Music/imSefM4GPpE.jpg
Alan Walker &amp; Sasha Alex Sloan - Hero (Official Music Video),Alan Walker,tu4HfcmMn1E,https://i.ytimg.com/vi/tu4HfcmMn1E/hqdefault.jpg,2023-05-05T09:00:07Z,0,tu4HfcmMn1E,Music,data/Music/tu4HfcmMn1E.jpg
Davis Sisters - Sneak Out (Music Video),funniflix,CkPnug0_DcA,https://i.ytimg.com/vi/CkPnug0_DcA/hqdefault.jpg,2019-07-24T21:49:10Z,0,CkPnug0_DcA,Music,data/Music/CkPnug0_DcA.jpg
Big Time Rush - Waves (Official Music Video),Big Time Rush,cviC_Kd8sKE,https://i.ytimg.com/vi/cviC_Kd8sKE/hqdefault.jpg,2023-05-03T16:00:10Z,0,cviC_Kd8sKE,Music,data/Music/cviC_Kd8sKE.jpg
Lady Gaga - Hold My Hand (From “Top Gun: Maverick”) [Official Music Video],LadyGagaVEVO,O2CIAKVTOrc,https://i.ytimg.com/vi/O2CIAKVTOrc/hqdefault.jpg,2022-05-06T16:00:13Z,0,O2CIAKVTOrc,Music,data/Music/O2CIAKVTOrc.jpg
Eminem - Drama (Music Video) (2023),NXRemix,RKi-0tjNnNE,https://i.ytimg.com/vi/RKi-0tjNnNE/hqdefault.jpg,2023-05-09T16:00:23Z,0,RKi-0tjNnNE,Music,data/Music/RKi-0tjNnNE.jpg
The Super Mario Bros. Movie - Official &quot;Peaches&quot; Music Video (2023) Jack Black,IGN Movie Trailers,49M3oGCxtFM,https://i.ytimg.com/vi/49M3oGCxtFM/hqdefault.jpg,2023-04-10T20:06:39Z,0,49M3oGCxtFM,Music,data/Music/49M3oGCxtFM.jpg
Metal Vocalist Reacts to - BTS 2014 Music Videos,JohnReavesLive,WL_BNFi2nO8,https://i.ytimg.com/vi/WL_BNFi2nO8/hqdefault.jpg,2023-05-04T23:00:10Z,0,WL_BNFi2nO8,Music,data/Music/WL_BNFi2nO8.jpg
Usher - Hey Daddy (Daddy&#39;s Home) (Official Music Video),UsherVEVO,pD8mxge6kek,https://i.ytimg.com/vi/pD8mxge6kek/hqdefault.jpg,2010-01-28T23:17:17Z,0,pD8mxge6kek,Music,data/Music/pD8mxge6kek.jpg
"Rema, Selena Gomez - Calm Down (Official Music Video)",SelenaGomezVEVO,WcIcVapfqXw,https://i.ytimg.com/vi/WcIcVapfqXw/hqdefault.jpg,2022-09-07T16:00:09Z,0,WcIcVapfqXw,Music,data/Music/WcIcVapfqXw.jpg
So I Made a Music Video for My Cat... *funny*,Brianna,a89ir2E5UeE,https://i.ytimg.com/vi/a89ir2E5UeE/hqdefault.jpg,2021-05-17T19:00:01Z,0,a89ir2E5UeE,Music,data/Music/a89ir2E5UeE.jpg
THE MILK SONG! (Official LankyBox Music Video),LankyBox,voCbXfIdfSE,https://i.ytimg.com/vi/voCbXfIdfSE/hqdefault.jpg,2021-06-17T00:00:10Z,0,voCbXfIdfSE,Music,data/Music/voCbXfIdfSE.jpg
RichBoyTroy - Most Hated (Official Music Video),RichBoyTroy,XI73elz7IE4,https://i.ytimg.com/vi/XI73elz7IE4/hqdefault.jpg,2023-05-07T19:00:07Z,0,XI73elz7IE4,Music,data/Music/XI73elz7IE4.jpg
Kim Petras &amp; Nicki Minaj - Alone (Official Music Video),KimPetrasVEVO,c_5AbgHmFqk,https://i.ytimg.com/vi/c_5AbgHmFqk/hqdefault.jpg,2023-05-02T20:00:08Z,0,c_5AbgHmFqk,Music,data/Music/c_5AbgHmFqk.jpg
Dua Lipa - New Rules (Official Music Video),Dua Lipa,k2qgadSvNyU,https://i.ytimg.com/vi/k2qgadSvNyU/hqdefault.jpg,2017-07-07T09:00:05Z,0,k2qgadSvNyU,Music,data/Music/k2qgadSvNyU.jpg
50 Cent - In Da Club (Official Music Video),50CentVEVO,5qm8PH4xAss,https://i.ytimg.com/vi/5qm8PH4xAss/hqdefault.jpg,2009-06-16T23:36:21Z,0,5qm8PH4xAss,Music,data/Music/5qm8PH4xAss.jpg
Munawar - NOOR | Prod. by Riz Shain | Official Music Video 2023,Munawar Faruqui,8bBow3_6LME,https://i.ytimg.com/vi/8bBow3_6LME/hqdefault.jpg,2023-05-03T06:30:09Z,0,8bBow3_6LME,Music,data/Music/8bBow3_6LME.jpg
Harry Styles - As It Was (Official Video),HarryStylesVEVO,H5v3kku4y6Q,https://i.ytimg.com/vi/H5v3kku4y6Q/hqdefault.jpg,2022-03-31T23:00:10Z,0,H5v3kku4y6Q,Music,data/Music/H5v3kku4y6Q.jpg
Making Free Music Videos For STRANGERS on the Street #shorts,setwillfree,vg8_xYwlE0w,https://i.ytimg.com/vi/vg8_xYwlE0w/hqdefault.jpg,2022-05-01T19:57:40Z,0,vg8_xYwlE0w,Music,data/Music/vg8_xYwlE0w.jpg
Greta Van Fleet - Meeting The Master (Official Music Video),GretaVanFleetVEVO,SFFKed1Dt4I,https://i.ytimg.com/vi/SFFKed1Dt4I/hqdefault.jpg,2023-05-03T15:00:10Z,0,SFFKed1Dt4I,Music,data/Music/SFFKed1Dt4I.jpg
SZA - Kill Bill (Official Video),SZAVEVO,MSRcC626prw,https://i.ytimg.com/vi/MSRcC626prw/hqdefault.jpg,2023-01-10T23:41:06Z,0,MSRcC626prw,Music,data/Music/MSRcC626prw.jpg
The Water (Freestyle) [Official Music Video],Cordae,kRk35DYkb8Q,https://i.ytimg.com/vi/kRk35DYkb8Q/hqdefault.jpg,2023-05-02T19:00:08Z,0,kRk35DYkb8Q,Music,data/Music/kRk35DYkb8Q.jpg
지민 (Jimin) &#39;Set Me Free Pt.2&#39; Official MV,HYBE LABELS,UaywgAqcLxI,https://i.ytimg.com/vi/UaywgAqcLxI/hqdefault.jpg,2023-03-17T03:59:11Z,0,UaywgAqcLxI,Music,data/Music/UaywgAqcLxI.jpg
This Is Cheating… Make Better Music Videos INSTANTLY!,Creative Ryan,m5v0fpyE4CQ,https://i.ytimg.com/vi/m5v0fpyE4CQ/hqdefault.jpg,2023-05-08T20:52:41Z,0,m5v0fpyE4CQ,Music,data/Music/m5v0fpyE4CQ.jpg
4 Non Blondes - What&#39;s Up (Official Music Video),4NonBlondesVEVO,6NXnxTNIWkc,https://i.ytimg.com/vi/6NXnxTNIWkc/hqdefault.jpg,2011-02-23T21:30:01Z,0,6NXnxTNIWkc,Music,data/Music/6NXnxTNIWkc.jpg
Berner - &quot;Motion&quot; (Official Music Video),Berner415,7NgOzJJc-LE,https://i.ytimg.com/vi/7NgOzJJc-LE/hqdefault.jpg,2023-05-02T16:00:12Z,0,7NgOzJJc-LE,Music,data/Music/7NgOzJJc-LE.jpg
Fireboy DML - Someone (Official Video),Fireboy DML,AE07nx7r6GU,https://i.ytimg.com/vi/AE07nx7r6GU/hqdefault.jpg,2023-05-03T18:00:01Z,0,AE07nx7r6GU,Music,data/Music/AE07nx7r6GU.jpg
Journey Montana - 212 (Official Music Video),Journey Montana,yy68h2oVRR0,https://i.ytimg.com/vi/yy68h2oVRR0/hqdefault.jpg,2023-05-05T18:23:28Z,0,yy68h2oVRR0,Music,data/Music/yy68h2oVRR0.jpg
Y.A.S.  OFFICIAL MUSIC VIDEO,todrickhall,GLG_THm0ieA,https://i.ytimg.com/vi/GLG_THm0ieA/hqdefault.jpg,2023-05-02T23:00:11Z,0,GLG_THm0ieA,Music,data/Music/GLG_THm0ieA.jpg
"RAYE, 070 Shake - Escapism. (Official Music Video)",RayeVEVO,Dll6VJ2C7wo,https://i.ytimg.com/vi/Dll6VJ2C7wo/hqdefault.jpg,2022-11-09T17:00:11Z,0,Dll6VJ2C7wo,Music,data/Music/Dll6VJ2C7wo.jpg
iKON - &quot;U&quot; MV,iKON,f3wuMLWtUqQ,https://i.ytimg.com/vi/f3wuMLWtUqQ/hqdefault.jpg,2023-05-04T09:00:31Z,0,f3wuMLWtUqQ,Music,data/Music/f3wuMLWtUqQ.jpg
Remo Forrer - Watergun | Switzerland 🇨🇭 | Official Music Video | Eurovision 2023,Eurovision Song Contest,_8-Sbc_GZMc,https://i.ytimg.com/vi/_8-Sbc_GZMc/hqdefault.jpg,2023-03-07T11:00:08Z,0,_8-Sbc_GZMc,Music,data/Music/_8-Sbc_GZMc.jpg
Guddhist Gunatita - SANA LAHAT GUMAAN (Official Music Video),Guddhist Gunatita,DU6yF7MoYN8,https://i.ytimg.com/vi/DU6yF7MoYN8/hqdefault.jpg,2023-05-05T09:55:10Z,0,DU6yF7MoYN8,Music,data/Music/DU6yF7MoYN8.jpg
Brent Faiyaz - ROLLING STONE [Official Video],Brent Faiyaz,R17MlsD2fng,https://i.ytimg.com/vi/R17MlsD2fng/hqdefault.jpg,2023-05-02T16:01:57Z,0,R17MlsD2fng,Music,data/Music/R17MlsD2fng.jpg
FLOW G - RAPSTAR (Official Music Video),FLOW G,2TDN50OzZNk,https://i.ytimg.com/vi/2TDN50OzZNk/hqdefault.jpg,2022-12-31T11:00:08Z,0,2TDN50OzZNk,Music,data/Music/2TDN50OzZNk.jpg
"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,vMLk_T0PPbk,https://i.ytimg.com/vi/vMLk_T0PPbk/hqdefault.jpg,2020-12-04T15:00:09Z,0,vMLk_T0PPbk,Music,data/Music/vMLk_T0PPbk.jpg
Omah Lay &amp; Justin Bieber - Attention (Official Music Video),Omah Lay,ZtC7-OpjzOc,https://i.ytimg.com/vi/ZtC7-OpjzOc/hqdefault.jpg,2022-03-04T05:00:11Z,0,ZtC7-OpjzOc,Music,data/Music/ZtC7-OpjzOc.jpg
Noa Kirel - Unicorn | Israel 🇮🇱 | Official Music Video | Eurovision 2023,Eurovision Song Contest,r4wbdKmM3bQ,https://i.ytimg.com/vi/r4wbdKmM3bQ/hqdefault.jpg,2023-03-08T20:45:08Z,0,r4wbdKmM3bQ,Music,data/Music/r4wbdKmM3bQ.jpg
Imagine Dragons - Demons (Official Music Video),ImagineDragonsVEVO,mWRsgZuwf_8,https://i.ytimg.com/vi/mWRsgZuwf_8/hqdefault.jpg,2013-05-07T15:40:06Z,0,mWRsgZuwf_8,Music,data/Music/mWRsgZuwf_8.jpg
Wild Youth - We Are One | Ireland 🇮🇪 | Official Music Video | Eurovision 2023,Eurovision Song Contest,ak5Fevs424Y,https://i.ytimg.com/vi/ak5Fevs424Y/hqdefault.jpg,2023-03-08T18:00:09Z,0,ak5Fevs424Y,Music,data/Music/ak5Fevs424Y.jpg
Victor Vernicos - What They Say | Greece 🇬🇷 | Official Music Video | Eurovision 2023,Eurovision Song Contest,qL0EkId_sTY,https://i.ytimg.com/vi/qL0EkId_sTY/hqdefault.jpg,2023-03-12T15:45:36Z,0,qL0EkId_sTY,Music,data/Music/qL0EkId_sTY.jpg
ZZ Ward - &quot;Ride Or Die&quot; (feat. Vic Mensa) [Official Music Video],ZZ Ward,vHjq4fe5wzs,https://i.ytimg.com/vi/vHjq4fe5wzs/hqdefault.jpg,2023-05-03T15:01:04Z,0,vHjq4fe5wzs,Music,data/Music/vHjq4fe5wzs.jpg
OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],OneRepublicVEVO,mNEUkkoUoIA,https://i.ytimg.com/vi/mNEUkkoUoIA/hqdefault.jpg,2022-05-13T04:00:11Z,0,mNEUkkoUoIA,Music,data/Music/mNEUkkoUoIA.jpg
"Justin Moore, Priscilla Block - You, Me, And Whiskey (Official Music Video)",JustinMooreVEVO,4nwYUx4MLVU,https://i.ytimg.com/vi/4nwYUx4MLVU/hqdefault.jpg,2023-02-03T02:00:10Z,0,4nwYUx4MLVU,Music,data/Music/4nwYUx4MLVU.jpg
JELEEL! - COME HERE! (Official Music Video),JELEEL!,jJioz0vF0sQ,https://i.ytimg.com/vi/jJioz0vF0sQ/hqdefault.jpg,2023-05-05T19:00:08Z,0,jJioz0vF0sQ,Music,data/Music/jJioz0vF0sQ.jpg
Burna Boy - Common Person [Official Music Video],Burna Boy,8560CAdA0Ys,https://i.ytimg.com/vi/8560CAdA0Ys/hqdefault.jpg,2023-01-30T17:02:11Z,0,8560CAdA0Ys,Music,data/Music/8560CAdA0Ys.jpg
Luh Tyler -  First Show  [Official Music Video],Luh Tyler,ONydAJd45AU,https://i.ytimg.com/vi/ONydAJd45AU/hqdefault.jpg,2023-05-03T04:00:11Z,0,ONydAJd45AU,Music,data/Music/ONydAJd45AU.jpg
Let 3 - Mama ŠČ! | Croatia 🇭🇷 | Official Music Video | Eurovision 2023,Eurovision Song Contest,AyKj8jA0Qoc,https://i.ytimg.com/vi/AyKj8jA0Qoc/hqdefault.jpg,2023-03-12T20:00:08Z,0,AyKj8jA0Qoc,Music,data/Music/AyKj8jA0Qoc.jpg
Davido - UNAVAILABLE (Official Video) ft. Musa Keys,DavidoVEVO,OSBan_sH_b8,https://i.ytimg.com/vi/OSBan_sH_b8/hqdefault.jpg,2023-04-11T16:00:10Z,0,OSBan_sH_b8,Music,data/Music/OSBan_sH_b8.jpg
Jason Mraz - Pancakes &amp; Butter (Official Music Video),Jason Mraz,KQuUauzZ3hM,https://i.ytimg.com/vi/KQuUauzZ3hM/hqdefault.jpg,2023-05-03T04:00:09Z,0,KQuUauzZ3hM,Music,data/Music/KQuUauzZ3hM.jpg
All-4-One - I Can Love You Like That (Official Music Video),RHINO,FEHQnTXC3SI,https://i.ytimg.com/vi/FEHQnTXC3SI/hqdefault.jpg,2021-01-29T15:59:53Z,0,FEHQnTXC3SI,Music,data/Music/FEHQnTXC3SI.jpg
Kali - Area Codes (Official Music Video),Kali,g3pLoVClX9M,https://i.ytimg.com/vi/g3pLoVClX9M/hqdefault.jpg,2023-04-06T17:00:08Z,0,g3pLoVClX9M,Music,data/Music/g3pLoVClX9M.jpg
Ed Sheeran - Bad Habits [Official Video],Ed Sheeran,orJSJGHjBLI,https://i.ytimg.com/vi/orJSJGHjBLI/hqdefault.jpg,2021-06-25T04:00:33Z,0,orJSJGHjBLI,Music,data/Music/orJSJGHjBLI.jpg
Tego Calderón - La Receta (Official Video),TegoCalderonVEVO,LGRxyz2W2Og,https://i.ytimg.com/vi/LGRxyz2W2Og/hqdefault.jpg,2023-05-03T17:00:09Z,0,LGRxyz2W2Og,Music,data/Music/LGRxyz2W2Og.jpg
Mariah Carey - We Belong Together (Official Music Video),MariahCareyVEVO,0habxsuXW4g,https://i.ytimg.com/vi/0habxsuXW4g/hqdefault.jpg,2009-06-16T23:02:37Z,0,0habxsuXW4g,Music,data/Music/0habxsuXW4g.jpg
Stephen Sanchez - Until I Found You (Official Music Video),StephenSanchezVEVO,GxldQ9eX2wo,https://i.ytimg.com/vi/GxldQ9eX2wo/hqdefault.jpg,2022-06-28T19:00:11Z,0,GxldQ9eX2wo,Music,data/Music/GxldQ9eX2wo.jpg
Christopher Mwahangila  - YESU NDIE AMANI (Official Music Video),CHRISTOPHER MWAHANGILA Official,IILo1T6r43g,https://i.ytimg.com/vi/IILo1T6r43g/hqdefault.jpg,2023-05-03T13:46:05Z,0,IILo1T6r43g,Music,data/Music/IILo1T6r43g.jpg
SEVENTEEN (세븐틴) &#39;손오공&#39; Official MV,HYBE LABELS,-GQg25oP0S4,https://i.ytimg.com/vi/-GQg25oP0S4/hqdefault.jpg,2023-04-24T08:58:11Z,0,-GQg25oP0S4,Music,data/Music/-GQg25oP0S4.jpg
"Sam Smith, Kim Petras - Unholy (Official Music Video)",SamSmithVEVO,Uq9gPaIzbe8,https://i.ytimg.com/vi/Uq9gPaIzbe8/hqdefault.jpg,2022-09-30T17:00:12Z,0,Uq9gPaIzbe8,Music,data/Music/Uq9gPaIzbe8.jpg
Harmonize - Single Again (Official Music Video),Harmonize,5YbLZjoiRho,https://i.ytimg.com/vi/5YbLZjoiRho/hqdefault.jpg,2023-03-27T17:00:10Z,0,5YbLZjoiRho,Music,data/Music/5YbLZjoiRho.jpg
Marshmello ft. Bastille - Happier (Official Music Video),Marshmello,m7Bc3pLyij0,https://i.ytimg.com/vi/m7Bc3pLyij0/hqdefault.jpg,2018-09-24T13:58:16Z,0,m7Bc3pLyij0,Music,data/Music/m7Bc3pLyij0.jpg
Zuchu - Utaniua (Official Music Video),Zuchu,vPqeafmzYAY,https://i.ytimg.com/vi/vPqeafmzYAY/hqdefault.jpg,2023-05-01T08:08:34Z,0,vPqeafmzYAY,Music,data/Music/vPqeafmzYAY.jpg
Tom Keifer #keiferband “UNTITLED” (Official Music Video),Cleopatra Records,loxIIDoT58s,https://i.ytimg.com/vi/loxIIDoT58s/hqdefault.jpg,2023-05-02T07:00:18Z,0,loxIIDoT58s,Music,data/Music/loxIIDoT58s.jpg
XG - LEFT RIGHT (Official Music Video),XG,T6YVgEpRU6Q,https://i.ytimg.com/vi/T6YVgEpRU6Q/hqdefault.jpg,2023-02-13T09:00:30Z,0,T6YVgEpRU6Q,Music,data/Music/T6YVgEpRU6Q.jpg
Libianca - People (Check On Me) [Official Music Video],LIBIANCA,rJWdfDPZ9Ck,https://i.ytimg.com/vi/rJWdfDPZ9Ck/hqdefault.jpg,2023-01-19T19:00:07Z,0,rJWdfDPZ9Ck,Music,data/Music/rJWdfDPZ9Ck.jpg
Lord Of The Lost - Blood &amp; Glitter | Germany 🇩🇪 | Official Music Video | Eurovision 2023,Eurovision Song Contest,Y12_YMs9kCQ,https://i.ytimg.com/vi/Y12_YMs9kCQ/hqdefault.jpg,2023-03-13T11:51:17Z,0,Y12_YMs9kCQ,Music,data/Music/Y12_YMs9kCQ.jpg
Alessandra - Queen Of Kings | 🇳🇴 Norway | Official Music Video | Eurovision 2023,Eurovision Song Contest,CxNiUxdJnTQ,https://i.ytimg.com/vi/CxNiUxdJnTQ/hqdefault.jpg,2023-03-27T10:16:49Z,0,CxNiUxdJnTQ,Music,data/Music/CxNiUxdJnTQ.jpg
The Weeknd ft. Future - Double Fantasy (Official Music Video),TheWeekndVEVO,dMoFcvfd5t4,https://i.ytimg.com/vi/dMoFcvfd5t4/hqdefault.jpg,2023-04-21T04:00:15Z,0,dMoFcvfd5t4,Music,data/Music/dMoFcvfd5t4.jpg
IShowSpeed &amp; Kai Cenat - Dogs (Official Music Video),IShowSpeed,aWKtAqIUEl4,https://i.ytimg.com/vi/aWKtAqIUEl4/hqdefault.jpg,2023-04-27T19:00:07Z,0,aWKtAqIUEl4,Music,data/Music/aWKtAqIUEl4.jpg
DUSTY LOCANE &amp; SFIV5 - FLOSSGHANISTAN (Official Music VIdeo),DUSTY LOCANE,nfVvxDqwtKg,https://i.ytimg.com/vi/nfVvxDqwtKg/hqdefault.jpg,2023-05-02T16:00:08Z,0,nfVvxDqwtKg,Music,data/Music/nfVvxDqwtKg.jpg
